"ADWIC Co., Ltd.",ADWIC
"AEON Integrated Business Service Co., Ltd.",AEON
"AGREX INC.",AGREX
"ALP",ALP
"ARC International Co, Ltd.",ARC
"ARI",ARI
"ARTHUR Inc.",ARTHER
"AT Communications Inc.",ATC
"ATMC Inc.",ATMC
"Advanced Industrial Science and Technology",AIST
"Ajinomoto Packaging Corporation",AJINOMOTO
"Alto Academy Inc.",ALTO
"Arata Corporation",ARATA
"AsMediX Co.,Ltd.",ASMEDIX
"AstroStage Inc.",ASTROSTAGE
"Auctech Inc.",AUCHTEC
"Avancer",ADVANCER
"Bell Capsule Takasaki",BELL
"Big Valley International Inc.",BIGVALLEY
"Bits Co., Ltd.",BITS
"BizBase Inc.",BIZBASE
"Brother Health Insurance Society",BHIS
"Buddy Communications K.K.",BUDDY
"CAI SYSTEM Corporation",CAI
"CHI CO., LTD.",CHI
"CIJ Next Co., Ltd.",CIJ
"CIJ Next Co.,Ltd.",CIJ
"CKS",CKS
"CME",CME
"COSMO MEDICAL SYSTEM CO., LTD.",COSMO
"CRC Solutions Corp.",CRC
"CSI CO., LTD.",CSI
"CSL",CSL
"CTC TECHNOLOGY Corporation",CTC
"Canon Argus Logic Inc.",CAL
"Canon Medical Systems Corporation",CMSC
"Century Leasing System Co., Ltd.",CLSC
"Chiba Foundation for Health Promotion & Disease Prevention",CFHPDP
"Chori Co., LTD.",CHORI
"Chori Com Co., Ltd.",CHORI
"Chuo Denshi Kougaku Co., Ltd.",CDKC
"Chuo University",CHUOUNIV
"Club Tourism International Inc.",CTII
"Computer Applicationware Laboratory Co., Ltd.",CAL
"Computer Brains Inc.",PROAS
"Core Create System Co., Ltd.",CORECREATE
"Cosmo Medical System Co., Ltd.",COSMO
"Cosmotec Patent Information Systems Inc.",JPDS
"D.A.Consortium Inc.",DAC
"DAN-TEC CO., LTD.",DANTEC
"DENSEISHA",DENSEISHA
"DM Research Center Corporation",DMRC
"DXC Technology Japan, Ltd.",DXC
"Digital Office.Co., Ltd.",DIGITALOFFICE
"Dokkyo Medical University",DOKKYOMU
"Duarcanum, Inc.",DUARCANUM
"E-Melon Solutions",EMELON
"EC-One, Inc.",ULSYSTEM
"Eiwa",EIWA
"Environmental Research Inst. Inc.",ERI
"FUJIFILM MEDICAL CO., LTD.",FUJIFILM
"FUJITSU CHUBU SYSTEMS LIMITED",FUJITSU
"FUJITSU LIMITED",FUJITSU
"FUJITSU SUPPORT AND SERVICE INC.",FUJITSU
"Fab Solutions Company Limited",FAB
"Fixstars Corporation",FIXSTAR
"Foundation Jiaikai",JIAIKAI
"Framework K.K.",FRAMEWORK
"Fujishoji Co.Ltd",FUJISHOJI
"Fujitsu Social Science Laboratory Ltd.",FSSL
"Fujitsu Systems West Limited",FUJITSU
"Furuno Electric Co., Ltd.",FURUNO
"GE Capital Leasing Corporation",GE
"Gallop",GALLOP
"Gappa Co. Ltd.",GAPPA
"Gunma University Hospital",GUNMAUH
"HOKUYU MEDICS Co.,Ltd.",HOKUYU
"HONDA R&D Co., Ltd. - Wako R&D Center",HONDA
"Harbor Software Co.",HARBOR
"Heiikukai",HEIIKUKAI
"Hewlett-Packard Japan Ltd.",DXC
"Hikida Sangyo Co., Ltd.",HIKIDA
"Hiroshima Red Cross Hospital & Atomatic-Bomb Survivors Hospital",HIROSHIMARCH
"Hitachi - Kawasaki",HITACHI
"Hitachi East Japan Solutions, Ltd",HITACHI
"Hitachi Procurement Service Co., Ltd.",HITACHI
"Hitachi Solutions West Japan, Ltd.",HITACHI
"Hitachi System & Service",HITACHI
"Hitachi, Ltd.",HITACHI
"Hokkaido University",HOKKAIDOUNIV
"IBS Co., Ltd.",IBS
"IC-Solutions.Co.,Ltd",ICSOLUTION
"ICAL Co., Ltd.",CAL
"ICS Co.,Ltd.",ICS
"IDEA 21",IDEA
"INFOCOM CORPORATION",INFOCOM
"INTEC Inc.",INTEC
"IT-Brain Corporation",ITBRAIN
"ITOCHU Techno-Solutions Corporation",CTC
"IUK Inc.",TUK
"Idai Service Inc.",IDAISERVICE
"Infolerk co., ltd.",INFOLERK
"Information Services International - Denstu., Ltd.",ISID
"Intel K.K.",INTEL
"Inter Software Inc.",SYSTEMBIT
"Item Inc.",ITEM
"Iwate Medical University",IMU
"JAVAONE Corporation",JAVAONE
"Japan Association of Medical Infomatics",JAMI
"Japan Association of Medical Informatics",JAMI
"Japan Aviation Electronics Industry, Ltd.",JAEIL
"Japan College of Rheumatology",JCR
"Japan DynaSystems, Inc.",JDS
"Japan MSM Co., Ltd.",JMSM
"Japan Patent Data Service Co.",JPDS
"Japan Systems Create Co.",JSCC
"Japan Systems Create Ltd.",JSCC
"Jichi Medical University",JMU
"Joho Systems, LLC",JSL
"Joint System",JOINT
"K.K. CROWD",KKCROWD
"KAMIJO MEDICAL INSTRUMENTS, INC.",KAMIJO
"KISSEI COMTEC CO., LTD.",KISSEI
"KYOCERA Communication Systems Co., Ltd.",KCCS
"KYUSHU UNIVERSITY",KYUSHUUNIV
"KYUSYU BUSINESS CO., LTD.",KBCL
"Kagoshima Prefectural Comprehensive Health Center",KPCH
"Kansai Univ. of Welfare Sciences Takahasi Lab.",KUWSTL
"Keio University Media Center Head Office",KEIOUNIV
"Keyware Solutions Inc.",KEYWARE
"Kirara Digital Co., Ltd.",KIRARA
"Knowledge Works, Inc.",KNOWLEDGEWORKS
"Kobe City Medical Center General Hospital",KCMCGH
"Kurume University",KURUMEUNIV
"Kyocera Maruzen Systems Integration Co., Ltd.",KCCS
"LEAD Co., Ltd.",LEAD
"LEAD Co.,Ltd.",LEAD
"Laurel Intelligent Systems Co., Ltd.",LIS
"Lehman Brothers Japan Inc.",LBJI
"M-tone",MTONE
"MAIN CORPORATION",MAIN
"MAPSYSTEM Co., Ltd",MAPSYSTEM
"MED-1Asia Co., Ltd.",MED1
"MEDICEO CORPORATION",MEDIPAL
"MEDICINA, Inc.",MEDICINA
"MEDIPAL HOLDINGS CORPORATION",MEDIPAL
"MEDIPLUS",WISEMAN
"MEIDEN KOHSAN CO., LTD.",MEIDEN
"MIS Co., Ltd.",MIS
"MVB",MVB
"Macros Japan, Inc.",MACROS
"Maruzen Co., Ltd.",MARUZEN
"Max System Consult",MAX
"Medi Plus",WISEMAN
"Medical Data Vision Co., Ltd.",MDV
"Medical Data Vision K.K.",MDV
"Medical Engineering Institute",MEI
"Medical Engineering Institute, Inc.",MEI
"Medical Front Corporation",MFC
"Medical IT Laboratory",MITLA
"Medical Information Co., Ltd.",MIC
"Medical Information System Co., Ltd.",MIC
"Medical-i, Inc.",MEDICALI
"Mediceo Paltac Holdings Co., Ltd.",MEDIPAL
"Mediplus Co., Ltd.",WISEMAN
"Meiden Software Corporation",MEIDEN
"Meiden System Solutions Corporation",MEIDEN
"Mitsubishi Chemical Medience Corporation",MCMC
"Mitsui E&S Systems Research Inc.",MSR
"Mitsui Zosen Systems Research, Inc.",MSR
"Mizuho Securities Co., Ltd.",MIZUHO
"Murata Group",MURATA
"Murata Machinery,Ltd.",MURATA
"Murata Systems, Ltd.",MURATA
"N-System Co., Ltd.",NSYSTEM
"NANO Medical Corporation",NANOMEDICAL
"NEC Aerospace Systems Ltd.",NECAS
"NEC Corporation",NEC
"NEC Soft, Ltd.",NEC
"NEC Solution Innovators, Ltd.",NEC
"NETMARKS INC.",UNIADEX
"NIHON ADVANCED SYSTEM CO., LTD.",NASL
"NIHON Micronics Inc.",NMI
"NITTSU TRANSPORT",NITTSU
"NIWS Co., Ltd.",NIWS
"NIWS Medical System Co., Ltd.",NIWS
"NS Solutions Corporation",NSSOLUTION
"NST Globalist, Inc.",NSTG
"NTT BizLink",NTTBIZLINK
"NTT BizLink Corporation",NTTBIZLINK
"NTT Bizlink",NTTBIZLINK
"NTT DATA GROUP",NTTDATA
"NTT DATA KANSAI CORPORATION",NTTDATA
"NTT DATA SEKISUI SYSTEMS CORPORATION",NTTDATA
"NTT DATA TERANOS CORPORATION",NTTDATATC
"NTT DATA TOKAI CORPORATION",NTTDATATOKAI
"NTT Data Corporation",NTTDATA
"NTT Data Group",NTTDATA
"NTT Data System Service Corporation",NTTDATA
"NTT EAST-YAMAGATA Co., Ltd.",NTTEAST
"NTT Group",NTT
"Nagoya University",NAGOYAUNIV
"Nakamura System Planning Office",NAKAMURA
"National Cerebral and Cardiovascular Center",NCCC
"Nauka Ltd.",NAUKA
"Neec System Technology Co., Ltd.",NSTCL
"New Concept Co., Ltd.",NCCL
"NewLib. Co.",NEWLIB
"Next Arise",NEXTA
"Next Energy & Resources Co., Ltd.",NEXTERC
"Nihon Kohden Corp.",NIHONKOHDEN
"Nihon Soft Technology Co., Ltd.",NSTC
"Nippon Access, Inc.",NAI
"Nippon Computer Systems Corp.",NCSC
"Nippon Express Co., Ltd.",NITTSU
"Nippon Jimuki CO., LTD.",NJCL
"Nippon Software Service CO., LTD.",NSSC
"Nippon Systec Co., Ltd.",NSYSTEC
"Nippon Truck Co., Ltd.",NITTSU
"Nittetsu Elex Co., Ltd.",NSOL
"Nittsu Information Systems",NITTSU
"Nittsu Information Systems Co., Ltd.",NITTSU
"Nittsu Shoji Co., Ltd.",NITTSU
"Nomura Data Systems Inc.",NOMURADATA
"OK Corporation",OK
